"","TimePeriod","position","water_year","Node","Season","TimePercentage","Species","Life_Stage","Hydraulic","bottom_type","Suitability_Class"
"1","critical","LOB",2010,"11101250","Seasonal",28.1053459119497,"Steelhead","Migration","Velocity","Soft","Partial"
"2","critical","LOB",2011,"11101250","Seasonal",1.64319248826291,"Steelhead","Migration","Velocity","Soft","Low"
"3","critical","LOB",2012,"11101250","Seasonal",2.06367924528302,"Steelhead","Migration","Velocity","Soft","Low"
"4","critical","LOB",2013,"11101250","Seasonal",1.17924528301887,"Steelhead","Migration","Velocity","Soft","Low"
"5","critical","LOB",2014,"11101250","Seasonal",1.96540880503145,"Steelhead","Migration","Velocity","Soft","Low"
"6","critical","LOB",2015,"11101250","Seasonal",1.79968701095462,"Steelhead","Migration","Velocity","Soft","Low"
"7","critical","LOB",2016,"11101250","Seasonal",9.00157232704403,"Steelhead","Migration","Velocity","Soft","Low"
"8","critical","MC",2010,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"9","critical","MC",2011,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"10","critical","MC",2012,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"11","critical","MC",2013,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"12","critical","MC",2014,"11101250","Seasonal",98.2704402515723,"Steelhead","Migration","Velocity","Soft","High"
"13","critical","MC",2015,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"14","critical","MC",2016,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"15","critical","ROB",2010,"11101250","Seasonal",32.1933962264151,"Steelhead","Migration","Velocity","Soft","Partial"
"16","critical","ROB",2011,"11101250","Seasonal",2.03442879499218,"Steelhead","Migration","Velocity","Soft","Low"
"17","critical","ROB",2012,"11101250","Seasonal",2.33883647798742,"Steelhead","Migration","Velocity","Soft","Low"
"18","critical","ROB",2013,"11101250","Seasonal",1.43474842767296,"Steelhead","Migration","Velocity","Soft","Low"
"19","critical","ROB",2014,"11101250","Seasonal",2.27987421383648,"Steelhead","Migration","Velocity","Soft","Low"
"20","critical","ROB",2015,"11101250","Seasonal",2.09311424100156,"Steelhead","Migration","Velocity","Soft","Low"
"21","critical","ROB",2016,"11101250","Seasonal",9.70911949685535,"Steelhead","Migration","Velocity","Soft","Low"
"22","critical","LOB",2010,"F300","Seasonal",18.3372641509434,"Steelhead","Migration","Velocity","Soft","Low"
"23","critical","LOB",2011,"F300","Seasonal",3.24726134585289,"Steelhead","Migration","Velocity","Soft","Low"
"24","critical","LOB",2012,"F300","Seasonal",5.93553459119497,"Steelhead","Migration","Velocity","Soft","Low"
"25","critical","LOB",2013,"F300","Seasonal",1.92610062893082,"Steelhead","Migration","Velocity","Soft","Low"
"26","critical","LOB",2014,"F300","Seasonal",4.12735849056604,"Steelhead","Migration","Velocity","Soft","Low"
"27","critical","LOB",2015,"F300","Seasonal",3.52112676056338,"Steelhead","Migration","Velocity","Soft","Low"
"28","critical","LOB",2016,"F300","Seasonal",20.2633647798742,"Steelhead","Migration","Velocity","Soft","Low"
"29","critical","MC",2010,"F300","Seasonal",96.875,"Steelhead","Migration","Velocity","Soft","High"
"30","critical","MC",2011,"F300","Seasonal",99.0610328638498,"Steelhead","Migration","Velocity","Soft","High"
"31","critical","MC",2012,"F300","Seasonal",99.5479559748428,"Steelhead","Migration","Velocity","Soft","High"
"32","critical","MC",2013,"F300","Seasonal",99.5086477987421,"Steelhead","Migration","Velocity","Soft","High"
"33","critical","MC",2014,"F300","Seasonal",99.312106918239,"Steelhead","Migration","Velocity","Soft","High"
"34","critical","MC",2015,"F300","Seasonal",99.3544600938967,"Steelhead","Migration","Velocity","Soft","High"
"35","critical","MC",2016,"F300","Seasonal",98.1721698113208,"Steelhead","Migration","Velocity","Soft","High"
"36","critical","ROB",2010,"F300","Seasonal",18.3372641509434,"Steelhead","Migration","Velocity","Soft","Low"
"37","critical","ROB",2011,"F300","Seasonal",3.24726134585289,"Steelhead","Migration","Velocity","Soft","Low"
"38","critical","ROB",2012,"F300","Seasonal",5.93553459119497,"Steelhead","Migration","Velocity","Soft","Low"
"39","critical","ROB",2013,"F300","Seasonal",1.92610062893082,"Steelhead","Migration","Velocity","Soft","Low"
